epoch:	AUC:	TPR:	precision	accuracy	MCC
100	0.8417758267835591	0.5440835266821346	0.8910702976567447	0.7241731318905675	0.5016767004896878
200	0.8362264151258976	0.548723897911833	0.9032463399108848	0.7307064107799102	0.5165623954449562
300	0.8288343776844708	0.574245939675174	0.8847184986595175	0.7357084524295631	0.5159866758186258
400	0.8155746808072211	0.5533642691415314	0.8929797191887675	0.7291751735402205	0.5098620422734895
500	0.7742401860430264	0.5174013921113689	0.8997982515131137	0.7147815434871376	0.4917755281791595
600	0.7742125468653408	0.5754060324825986	0.885450758702767	0.7365251122907309	0.5175145064706189
700	0.7657741093912657	0.5928074245939675	0.8535634743875279	0.7313189056757861	0.4962697075153607
800	0.7794345116236749	0.5707656612529002	0.8651817116060961	0.7264189465087791	0.4938221366646331
900	0.812859685637596	0.5556844547563805	0.8695915279878971	0.7214169048591261	0.4882980621515278
1000	0.8091502236557242	0.5220417633410673	0.9084791386271871	0.7198856676194365	0.5030138066008859
