epoch:	AUC:	TPR:	precision	accuracy	MCC
1	0.5080385056813772	0.07308584686774942	0.5369318181818182	0.47733768885259287	0.004994985837397795
2	0.6345830590322659	0.7807424593967517	0.5931257344300822	0.6014699877501021	0.19700567019114343
3	0.7090067090026949	0.7911832946635731	0.6298291519162691	0.6442425479787668	0.2863343017137285
4	0.740568559210227	0.7169373549883991	0.6610804064895703	0.6564924458962842	0.3086113515103518
5	0.768672501585594	0.7389791183294664	0.6902654867256637	0.6871171906900776	0.37067976910981587
6	0.7844252021130548	0.7099767981438515	0.7113521890740023	0.6947733768885259	0.38770135797402283
7	0.8021942245575725	0.6832946635730859	0.7479365079365079	0.7112086565945284	0.4253241883759324
8	0.8161207949980865	0.6577726218097448	0.7658712291760468	0.7131482237648019	0.43406651994612544
9	0.8176813631826416	0.6252900232018561	0.7868613138686131	0.7127398938342181	0.4409045306041428
10	0.8260311127658381	0.6183294663573086	0.7991004497751124	0.7164148632094732	0.45137472350647917
11	0.82919126177153	0.6125290023201856	0.816284462767328	0.7226418946508779	0.46781115877115675
12	0.8304044585965955	0.5661252900232019	0.8315819369497301	0.7103919967333605	0.45556960096915555
13	0.8319599045432284	0.5788863109048724	0.8381858902575587	0.7186606778276847	0.4707547799398421
14	0.8279945397361892	0.5846867749419954	0.8414023372287145	0.7225398121682319	0.4779436881271338
15	0.8328347409661284	0.5696055684454756	0.8588921282798834	0.7233564720293998	0.4865745274518964
16	0.8325011891954817	0.5626450116009281	0.8568904593639576	0.7194773376888526	0.47994840751456275
17	0.8331895761580188	0.5440835266821346	0.8682505399568035	0.7157002858309514	0.4792919340200625
18	0.8373838318253465	0.5464037122969838	0.8719531008947856	0.7181502654144549	0.4845070742199096
19	0.832912640796731	0.548723897911833	0.8636640292148509	0.7160065332788893	0.47774563873913584
20	0.8414314869526356	0.5568445475638051	0.8858812673023685	0.7281543487137607	0.5052879101018393
21	0.8390122853426889	0.5672853828306265	0.8685612788632326	0.7262147815434872	0.4949636775156448
22	0.8386055169303971	0.568445475638051	0.875	0.7292772560228665	0.5022714533407251
23	0.8293074843046266	0.574245939675174	0.8583815028901735	0.7251939567170274	0.4890974968447726
24	0.8324326975569811	0.5510440835266821	0.878003696857671	0.7225398121682319	0.4935979228589599
25	0.8368915534003967	0.568445475638051	0.8713692946058091	0.7278481012658228	0.4985935244499581
26	0.8349909731532847	0.574245939675174	0.8779190067986994	0.7330543078807676	0.5091374052711501
27	0.8358953722064778	0.5510440835266821	0.8864696734059098	0.7257043691302573	0.5019300371585409
28	0.8360795637007363	0.5545243619489559	0.8808353808353808	0.7251939567170274	0.4987377517540807
29	0.8347926066495932	0.5464037122969838	0.8795518207282913	0.7210085749285423	0.49201654873353623
30	0.8393499767178607	0.5545243619489559	0.8819188191881919	0.7256022866476113	0.4998088710312651
31	0.8367810803180287	0.5638051044083526	0.8738387773449205	0.726725193956717	0.4979854704177417
32	0.836248409388322	0.5556844547563805	0.880784554091327	0.7257043691302573	0.4994690323630217
33	0.8387727736788724	0.54292343387471	0.8939828080229226	0.7246835443037974	0.5036932313162145
34	0.8324293106078244	0.5533642691415314	0.8728270814272644	0.7216210698244181	0.48999973589456935
35	0.8375356591387749	0.5649651972157773	0.8809164908049443	0.7299918334013883	0.5058683182720377
36	0.8402247086052929	0.5440835266821346	0.889661713563073	0.7236627194773377	0.5003144442676825
37	0.8325282847887348	0.5510440835266821	0.8774630541871922	0.72233564720294	0.4930626251991153
38	0.8336660070060506	0.5475638051044084	0.8716528162511542	0.7185585953450387	0.4849772323852944
39	0.8389835589961384	0.5464037122969838	0.8875628140703518	0.7239689669252756	0.49985149134997475
40	0.8323093457049805	0.580046403712297	0.8655510675129833	0.7307064107799102	0.500380457437481
41	0.8335396027183904	0.548723897911833	0.8805460750853242	0.722437729685586	0.4945509514635646
42	0.8401495894181338	0.5545243619489559	0.8871017630683575	0.7275418538178848	0.504911598962109
43	0.8381607812362013	0.5452436194895591	0.8806995627732667	0.7209064924458963	0.4923658454069033
44	0.8351757082319757	0.5672853828306265	0.8813457494743167	0.7312168231931401	0.507869436268686
45	0.8298181400648152	0.5661252900232019	0.8784878487848785	0.7295835034708044	0.504220592565265
46	0.8346455879676834	0.5626450116009281	0.8728254349130175	0.7258064516129032	0.49618798692535737
47	0.841640683330791	0.5614849187935035	0.8789346246973365	0.7276439363005308	0.5015381467074604
48	0.8373353691824758	0.5545243619489559	0.8873762376237624	0.7276439363005308	0.5051808512336621
49	0.8363432439647077	0.5580046403712297	0.867708959711365	0.7217231523070641	0.48793747344961935
50	0.8379397096289042	0.5498839907192575	0.8912566593544343	0.7269293589220089	0.5058087397542514
51	0.8390003682993601	0.5556844547563805	0.8895078922934077	0.7289710085749286	0.5080597851543276
52	0.8386954174327026	0.5498839907192575	0.8940584721785602	0.7279501837484688	0.508525642723514
53	0.8350462933228431	0.5881670533642691	0.8525784753363229	0.7288689260922826	0.4921616596361411
54	0.834132360634987	0.5614849187935035	0.8576491435321913	0.7192731727235606	0.47997183149482436
55	0.8402613169261154	0.5672853828306265	0.8816105769230769	0.7313189056757861	0.5081344176046081
56	0.8393555798189345	0.5348027842227379	0.8865384615384615	0.7182523478971009	0.4910221679737405
57	0.8400039296973055	0.5580046403712297	0.888	0.7294814209881584	0.5081620776491721
58	0.8437724542184828	0.5580046403712297	0.8973880597014925	0.7329522253981217	0.517336470906481
59	0.8422062620257603	0.5545243619489559	0.889026658400496	0.7282564311964067	0.5067978208320599
60	0.838837418412158	0.5626450116009281	0.8842297174111212	0.7301959983666803	0.5075944719660392
61	0.8356231200341472	0.5464037122969838	0.8839537065999374	0.7226418946508779	0.4963319676439084
62	0.8445064186449796	0.5324825986078886	0.8947368421052632	0.7200898325847285	0.49729520172599967
63	0.8416599178568658	0.5603248259860789	0.8784480145498635	0.7269293589220089	0.5002710437370602
64	0.8346428073242399	0.5603248259860789	0.8763229513153916	0.7261126990608412	0.4981470490948368
65	0.8393508966299772	0.5498839907192575	0.8769657724329325	0.7216210698244181	0.4917942143199396
66	0.8412745164941914	0.5440835266821346	0.8885380486264604	0.7232543895467538	0.49922594111609336
67	0.84093159834563	0.5394431554524362	0.883470550981634	0.7192731727235606	0.49117651042149374
68	0.8383459762709504	0.5556844547563805	0.8799755052051439	0.7253981216823193	0.4986672195689322
69	0.8435851684743776	0.5522041763341067	0.8925	0.7284605961616987	0.508601728468003
70	0.8313653904307731	0.5580046403712297	0.8756067961165048	0.7247856267864434	0.49587534734767275
71	0.8349016580495988	0.5580046403712297	0.8748105486511064	0.7244793793385055	0.4950789292456359
72	0.8390605807288113	0.5533642691415314	0.8874418604651163	0.7271335238873009	0.5044567129990352
73	0.8352104140072844	0.5464037122969838	0.8820224719101124	0.721927317272356	0.494441772450256
74	0.83948031153911	0.5661252900232019	0.8787515006002401	0.7296855859534503	0.5044851264238444
75	0.8420427685541257	0.5580046403712297	0.88909426987061	0.7298897509187423	0.5092372548406435
76	0.8443350641061667	0.5568445475638051	0.8737864077669902	0.7235606369946918	0.4932787083444752
77	0.8358884310514161	0.5452436194895591	0.8776844070961718	0.7197835851367905	0.48940321685798727
78	0.845245902544176	0.537122969837587	0.9001944264419961	0.7241731318905675	0.505651704417635
79	0.8420009543670068	0.5614849187935035	0.8954671600370028	0.7338709677419355	0.5178658511380921
80	0.8478946222272176	0.5464037122969838	0.8957210776545167	0.7269293589220089	0.5077463294265645
81	0.8400797597256453	0.574245939675174	0.8815672306322351	0.7344834626378114	0.5128201470931835
82	0.8385034066854529	0.5394431554524362	0.8965295629820051	0.7239689669252756	0.5037547522677721
83	0.8351120252249937	0.5464037122969838	0.8722222222222222	0.7182523478971009	0.48477435082190085
84	0.8473165829044871	0.5556844547563805	0.892269481527476	0.7299918334013883	0.510758881271935
85	0.8409577740267664	0.5440835266821346	0.8910702976567447	0.7241731318905675	0.5016767004896878
