epoch:	AUC:	TPR:	precision	accuracy	MCC
100	0.6835405186039557	0.24836601307189543	0.7615230460921844	0.5852941176470589	0.2308795383105909
200	0.6990644623862617	0.2222222222222222	0.7870370370370371	0.581045751633987	0.23275398589315627
300	0.6970566875987868	0.21568627450980393	0.7932692307692307	0.5797385620915033	0.23265502421667572
400	0.706715365884916	0.24183006535947713	0.7708333333333334	0.5849673202614379	0.23363767527411655
500	0.7114144132598574	0.24836601307189543	0.8388520971302428	0.6003267973856209	0.28250019952263666
600	0.7233521295228331	0.20915032679738563	0.8142493638676844	0.5807189542483661	0.24126213695718482
700	0.7286684608483915	0.23529411764705882	0.8372093023255814	0.5947712418300654	0.27270047591138435
800	0.7340082874108248	0.20915032679738563	0.8268733850129198	0.5826797385620915	0.2487514146668156
900	0.7281366141227733	0.2222222222222222	0.8018867924528302	0.5836601307189543	0.24214992231472887
1000	0.7401768550557479	0.24836601307189543	0.8315098468271335	0.5990196078431372	0.2778097249000417
